HID,Title,X,Y,Realm_Mode,NonTree_Mean,Bare_Mean,Tree_Mean,Density_Mean,Elevation_Mean,KoppenGeiger_Mode,AnnualPET_Mean,AridityIndexThornthwaite_Mean,ClimaticMoistureIndex_Mean,Continentality_Mean,EmbergerQ_Mean,GrowingDegDays0_Mean,GrowingDegDays5_Mean,MaxTempColdest_Mean,MinTempWarmest_Mean,MonthCountByTemp10_Mean,PETColdestQuarter_Mean,PETDriestQuarter_Mean,PETSeasonality_Mean,PETWarmestQuarter_Mean,PETWettestQuarter_Mean,ThermicityIndex_Mean,BIO01_Mean,BIO02_Mean,BIO03_Mean,BIO04_Mean,BIO05_Mean,BIO06_Mean,BIO07_Mean,BIO08_Mean,BIO09_Mean,BIO10_Mean,BIO11_Mean,BIO12_Mean,BIO13_Mean,BIO14_Mean,BIO15_Mean,BIO16_Mean,BIO17_Mean,BIO18_Mean,BIO19_Mean,NPPt,NPPp,NPP,Invertivores..1kg,Invertivores.1.10kg,Invertivores..10kg,Herbivores..1kg,Herbivores.1.10kg,Herbivores.10.44kg,Herbivores.44.100kg,Herbivores.100.500kg,Herbivores.500.1000kg,Herbivores..1000kg,Omnivores..1kg,Omnivores.1.10kg,Omnivores..10kg,Carnivores..1kg,Carnivores.1.10kg,Carnivores.10.44kg,Carnivores.44.100kg,Carnivores..100kg
28033 (PN Mammals + Crocodiles + Eunectes)(Energy corrected),,-74.268135,7.255831,Neotropic,25.785611,5.905446,68.308943,23.490238,543.290452,Af,1622.516258,28.426833,0.470957,1.391288,950.337965,111074.0369,111074.0369,294.510662,216.028735,12,127.933242,135.201206,797.923233,142.448477,135.912218,680.077693,25.417092,8.910896,88.648998,34.333147,30.576849,20.526281,10.050568,25.107438,25.557369,25.766176,24.957777,2983.682903,424.822279,65.35986,46.559257,1096.02832,277.832181,544.127314,960.658077,2540.366399,2586.274744,2540.366399,56,4,0,64,14,7,2,7,0,2,10,2,0,6,10,1,3,2
28033 (Current Mammals + Crocodiles + Eunectes)(Energy corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,4,0,64,14,5,1,3,0,0,9,2,0,5,10,1,2,1
28033 (PN Mammals + Crocodiles + Eunectes),,-74.268135,7.255831,Neotropic,25.785611,5.905446,68.308943,23.490238,543.290452,Af,1622.516258,28.426833,0.470957,1.391288,950.337965,111074.0369,111074.0369,294.510662,216.028735,12,127.933242,135.201206,797.923233,142.448477,135.912218,680.077693,25.417092,8.910896,88.648998,34.333147,30.576849,20.526281,10.050568,25.107438,25.557369,25.766176,24.957777,2983.682903,424.822279,65.35986,46.559257,1096.02832,277.832181,544.127314,960.658077,2540.366399,2586.274744,2540.366399,56,4,0,64,14,7,2,7,0,2,10,2,0,6,7,2,4,3
28033 (Current Mammals + Crocodiles + Eunectes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,4,0,64,14,5,1,3,0,0,9,2,0,5,7,2,3,2
28033 (Current Mammals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56,4,0,64,14,5,1,3,0,0,9,2,0,5,7,1,1,1
La Venta mammals + birds + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs (adjusted),La Venta mammals + birds + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs (adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,0,15,17,10,2,4,3,4,1,2,1,2,7,5,1,3
La Venta mammals + birds + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs,La Venta mammals + birds + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,4,0,14,17,7,3,7,3,4,1,2,1,0,4,6,1,6
La Venta mammals + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs (adjusted),La Venta mammals + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs (adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,14,17,10,2,4,3,4,1,2,1,2,5,5,1,3
La Venta mammals + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs,La Venta mammals + 2 Teiid lizards + C. portai + Eunectes + all turtles + all crocs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,13,17,7,3,7,3,4,1,2,1,0,2,6,1,6
La Venta Mammals + Crocodiles + Turtles (energy corrected),La Venta Mammals + Crocodiles + Turtles (energy corrected),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,3,0,14,16,11,2,4,3,4,1,2,1,0,3,4,2,3
